Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010
330010010000009;2;0;X;X;X;X;X;X;X;X;X
330010010000010;2;0;X;X;X;X;X;X;X;X;X
330010010000011;2;3;0;0;2;0;7;0;0;0;0
330010010000012;2;1;0;0;1;0;2;0;0;0;0
330010010000013;2;2;0;0;2;0;0;0;0;1;0
330010010000014;2;0;0;0;0;0;3;0;0;0;0
330010010000015;2;1;0;0;0;0;2;0;0;0;0
330010010000016;2;6;0;0;2;0;7;0;0;4;0
330010010000018;2;4;0;0;0;0;4;0;0;0;0
330010010000019;2;2;0;0;0;0;1;0;0;0;0
330010010000020;2;30;0;0;7;0;25;0;0;7;0
330010010000021;2;0;X;X;X;X;X;X;X;X;X
330010010000022;2;3;0;0;1;0;1;0;0;1;0
330010010000023;2;2;0;0;0;0;3;0;0;1;0
330010010000024;2;0;0;0;0;0;0;0;0;0;0
330010010000031;8;2;0;0;3;0;0;0;0;1;0
330010015000001;1;12;0;0;9;0;6;1;0;7;0
330010015000002;1;21;0;0;9;0;21;0;0;8;0
330010015000003;1;3;1;0;2;0;2;0;0;2;0
330010015000004;1;3;0;0;0;0;5;0;0;1;0
330010015000005;1;2;0;0;4;0;2;0;0;2;0
330010015000006;1;25;3;2;14;0;28;2;0;21;0
330010015000007;1;29;2;0;13;0;27;1;0;18;0
330010015000008;1;18;3;0;8;0;30;2;0;8;0
330010015000009;1;27;2;1;16;0;22;1;0;11;0
330010015000010;1;17;1;0;13;0;12;1;0;4;0
330010015000011;1;16;0;1;5;0;15;0;0;6;0
330010015000012;1;9;0;0;4;0;5;0;0;3;0
330010015000013;1;7;0;0;5;0;10;3;0;14;0
330010015000014;1;36;5;0;21;0;41;3;4;22;0
330010015000015;1;0;X;X;X;X;X;X;X;X;X
330010015000016;1;0;X;X;X;X;X;X;X;X;X
330010015000017;1;2;0;0;0;0;4;0;0;1;0
330010015000018;1;1;0;0;0;0;1;1;0;1;0
