Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
330455705150144;1;0;297310;297310;0;0;0;4;19;34;15;16;11;1;1;
330455705150145;1;0;782132;782132;0;2;3;23;48;54;32;39;36;4;22;
330455705150146;1;0;782226;782226;0;0;2;4;20;59;41;38;26;6;2;
330455705150147;1;0;872581;872581;0;0;0;8;32;75;49;52;29;4;2;
330455705150148;1;0;760669;760669;0;0;1;10;59;109;56;31;15;5;12;
330455705150149;1;0;554383;554383;0;0;2;8;28;52;30;33;13;4;1;
330455705150150;1;0;700937;700937;0;0;2;13;40;65;45;44;14;1;1;
330455705150151;1;0;560462;560462;0;0;1;6;32;74;33;30;8;5;9;
330455705150152;1;0;662583;662583;0;0;0;13;68;100;39;30;10;2;10;
330455705150153;1;0;638948;638948;0;0;1;8;42;104;39;36;8;1;2;
330455705150154;1;0;846612;846612;0;0;3;14;70;121;56;43;15;2;1;
330455705150155;1;0;745109;745109;0;0;2;16;56;107;48;38;12;0;4;
330455705150156;1;0;1127847;1127847;0;0;2;3;28;70;54;52;17;8;2;
330455705150157;1;0;630012;630012;0;0;1;8;43;46;22;30;16;4;2;
330455705150158;1;0;100853;100853;0;2;4;20;22;18;2;0;0;0;5;
330455705150159;1;0;367146;367146;0;2;2;29;62;58;25;8;3;0;11;
330455705150160;1;0;661280;661280;0;1;0;9;56;88;40;28;13;1;4;
330455705150161;1;0;745329;745329;0;0;1;3;36;63;48;36;25;7;3;
330455705150162;1;0;793870;793870;0;0;2;8;40;69;29;43;25;5;11;
330455705150163;1;0;636450;636450;0;0;2;12;28;45;34;40;16;3;13;
330455705150164;1;0;1179320;1179320;0;1;1;6;38;76;49;57;46;9;10;
330455705150165;1;0;487939;487939;0;0;0;1;14;38;28;23;19;3;3;
330455705150166;1;0;733703;733703;0;0;1;26;69;95;48;32;10;4;2;
330455705150167;1;0;840207;840207;0;0;2;11;70;87;49;50;13;2;0;
330455705150168;1;0;1140325;1140325;0;0;3;20;80;166;82;48;16;2;3;
330455705150169;1;0;336320;336320;0;0;0;13;29;51;22;16;6;0;8;
330455705150170;1;0;558826;558826;0;0;3;16;50;78;33;24;13;1;16;
330455705150171;1;0;796574;796574;0;1;5;14;73;77;51;38;16;3;7;
330455705150172;1;0;755498;755498;0;1;0;14;64;84;43;37;18;0;3;
330455705150173;1;0;1026006;1026006;0;0;2;12;88;114;61;63;20;3;3;
330455705150174;1;0;563835;563835;0;0;2;18;54;90;31;25;8;2;7;
330455705150175;1;0;389433;389433;0;1;2;8;24;45;20;25;6;1;3;
330455705150176;1;0;139910;139910;0;0;6;12;36;16;7;2;2;0;4;
330455705150177;1;0;487579;487579;0;0;5;36;90;95;17;6;6;2;7;
330455705150178;1;0;404335;404335;0;3;10;29;75;62;24;9;6;0;51;
330455705150179;1;0;685662;685662;0;0;2;14;60;91;49;42;8;0;4;
330455705150180;1;0;423544;423544;0;0;1;16;34;61;36;19;4;1;28;
330455705150181;1;0;516984;516984;0;0;0;13;45;86;37;27;5;1;4;
330455705150182;1;0;365742;365742;0;0;0;8;36;70;28;12;5;0;0;
330455705150183;1;0;730841;730841;0;3;2;19;53;105;60;28;12;0;23;
330455705150184;1;0;311039;311039;0;0;5;16;47;54;23;8;2;0;7;
330455705150185;1;0;280139;280139;0;0;2;17;35;50;17;6;2;0;4;
330455705150186;1;0;311511;311511;0;1;12;30;71;55;18;8;1;0;5;
330455705150187;1;0;244468;244468;0;1;3;23;46;39;7;7;2;1;3;
330455705150188;1;0;323909;323909;0;1;16;65;91;74;9;2;0;0;36;
330455705150189;1;0;377409;377409;0;2;11;40;83;89;13;5;3;1;8;
330455705150190;1;0;446232;446232;0;0;0;8;28;34;20;17;11;2;59;
330455705150191;1;0;707968;707968;0;0;4;16;46;74;39;32;21;2;2;
330455705150192;1;0;406363;406363;0;0;2;23;43;62;16;19;7;1;12;
330455705150193;1;0;732056;732056;0;1;1;17;50;87;46;39;13;5;12;
330455705150194;1;1;673896;672876;1020;0;2;12;68;94;44;36;5;3;4;
330455705150195;1;0;524606;524606;0;1;1;12;49;95;37;21;6;0;3;
330455705150196;1;0;731888;731888;0;1;4;30;96;109;64;24;4;2;7;
330455705150197;1;0;273673;273673;0;0;9;24;60;52;11;5;1;1;6;
330455705150198;1;0;519799;519799;0;1;5;19;69;72;40;20;3;2;13;
330455705150199;1;0;538048;538048;0;0;1;10;45;48;42;11;12;3;8;
330455705150200;1;0;258851;258851;0;0;7;15;40;46;14;12;1;1;1;
330455705150201;1;0;352859;352859;0;1;13;42;99;68;15;6;1;0;8;
330455705150202;1;0;282664;282664;0;0;6;23;79;51;8;3;0;0;5;
330455705150203;1;0;313345;313345;0;5;32;96;114;45;4;3;0;0;19;
330455705150204;1;0;1031012;1031012;0;0;0;11;72;67;44;43;23;13;0;
330455705150205;1;0;870578;870578;0;0;0;11;52;81;51;38;27;3;3;
330455705150206;1;0;407137;407137;0;0;3;12;20;34;27;16;6;2;1;
330455705150207;1;0;275387;275387;0;0;3;15;63;45;13;9;2;1;3;
330455705150208;1;0;190926;190926;0;0;0;11;24;37;15;6;3;0;5;
330455705150209;1;0;180854;180854;0;2;7;35;43;31;2;6;0;0;5;
330455705150210;1;0;142193;142193;0;1;9;19;33;29;1;1;0;0;0;
330455705150211;1;0;146185;146185;0;3;9;29;60;22;1;2;0;0;11;
330455705150212;1;0;284489;284489;0;3;9;39;95;45;7;5;0;0;19;
330455705150213;1;0;121754;121754;0;1;2;17;36;27;3;0;0;0;2;
330455705150214;1;0;81553;81553;0;1;4;26;30;15;1;0;0;0;6;
330455705150215;1;0;56230;56230;0;1;19;36;20;3;0;0;0;0;31;
330455705150216;1;0;304044;304044;0;2;18;74;134;46;2;0;0;0;8;
330455705150217;1;0;370620;370620;0;0;6;20;44;107;48;11;2;0;13;
330455705150218;1;0;225130;225130;0;0;1;14;39;54;15;4;2;0;11;
